1 1 1 , 200 100 200 , 30 30 30 , 
-20.2032 -19.7893 -25.127 , 214.426 107.101 214.565 , 125.176 112.081 36.0181 , 
-20.3803 -19.9615 -25.3306 , 214.536 107.154 214.68 , 126.039 112.873 36.1074 , 
-20.5576 -20.1338 -25.5341 , 214.647 107.207 214.795 , 126.902 113.666 36.1956 , 
-20.7349 -20.3062 -25.7378 , 214.758 107.26 214.909 , 127.766 114.46 36.2828 , 
-20.9124 -20.4787 -25.9414 , 214.869 107.313 215.025 , 128.63 115.255 36.3689 , 
-21.09 -20.6513 -26.1452 , 214.981 107.366 215.14 , 129.494 116.051 36.454 , 
-21.2677 -20.8239 -26.3489 , 215.092 107.419 215.255 , 130.359 116.849 36.5379 , 
-21.4455 -20.9967 -26.5527 , 215.203 107.472 215.371 , 131.223 117.647 36.6208 , 
-21.6234 -21.1696 -26.7566 , 215.315 107.525 215.486 , 132.088 118.446 36.7025 , 
-21.8014 -21.3425 -26.9605 , 215.426 107.578 215.602 , 132.954 119.247 36.7832 , 
-21.9795 -21.5156 -27.1644 , 215.538 107.631 215.718 , 133.819 120.048 36.8626 , 
-22.1578 -21.6888 -27.3684 , 215.649 107.684 215.834 , 134.685 120.85 36.9409 , 
-22.3361 -21.862 -27.5725 , 215.761 107.737 215.951 , 135.552 121.653 37.0181 , 
-22.5145 -22.0353 -27.7766 , 215.873 107.79 216.067 , 136.418 122.458 37.0941 , 
-22.693 -22.2087 -27.9807 , 215.985 107.842 216.184 , 137.285 123.263 37.1689 , 
-22.8716 -22.3822 -28.1848 , 216.096 107.895 216.301 , 138.152 124.069 37.2425 , 
-23.0503 -22.5558 -28.389 , 216.208 107.948 216.418 , 139.019 124.876 37.3148 , 
-23.2291 -22.7295 -28.5933 , 216.32 108.001 216.535 , 139.886 125.684 37.386 , 
-23.408 -22.9033 -28.7976 , 216.433 108.054 216.652 , 140.754 126.494 37.4559 , 
-23.587 -23.0771 -29.0019 , 216.545 108.107 216.769 , 141.622 127.304 37.5246 , 
-23.7661 -23.251 -29.2062 , 216.657 108.16 216.887 , 142.49 128.115 37.5921 , 
-23.9452 -23.425 -29.4106 , 216.769 108.212 217.005 , 143.358 128.927 37.6582 , 
-24.1245 -23.5991 -29.6151 , 216.882 108.265 217.123 , 144.226 129.74 37.7231 , 
-24.3038 -23.7732 -29.8195 , 216.994 108.318 217.241 , 145.095 130.554 37.7868 , 
-24.4833 -23.9475 -30.024 , 217.107 108.371 217.359 , 145.963 131.369 37.8491 , 
-24.6628 -24.1218 -30.2286 , 217.22 108.423 217.478 , 146.832 132.185 37.9101 , 
-24.8424 -24.2962 -30.4332 , 217.332 108.476 217.596 , 147.701 133.001 37.9699 , 
-25.022 -24.4706 -30.6378 , 217.445 108.529 217.715 , 148.571 133.819 38.0283 , 
-25.2018 -24.6452 -30.8424 , 217.558 108.581 217.834 , 149.44 134.638 38.0854 , 
-25.3817 -24.8198 -31.0471 , 217.671 108.634 217.953 , 150.31 135.458 38.1411 , 
-25.5616 -24.9945 -31.2518 , 217.784 108.687 218.072 , 151.179 136.278 38.1955 , 
-25.7416 -25.1692 -31.4566 , 217.897 108.739 218.192 , 152.049 137.1 38.2486 , 
-25.9217 -25.3441 -31.6614 , 218.01 108.792 218.311 , 152.919 137.922 38.3003 , 
-26.1018 -25.519 -31.8662 , 218.123 108.844 218.431 , 153.79 138.746 38.3507 , 
-26.2821 -25.6939 -32.071 , 218.236 108.897 218.551 , 154.66 139.57 38.3997 , 
-26.4624 -25.869 -32.2759 , 218.349 108.949 218.671 , 155.53 140.396 38.4473 , 
-26.6428 -26.0441 -32.4808 , 218.463 109.002 218.791 , 156.401 141.222 38.4936 , 
-26.8232 -26.2192 -32.6858 , 218.576 109.054 218.912 , 157.272 142.049 38.5385 , 
-27.0038 -26.3945 -32.8908 , 218.69 109.107 219.033 , 158.143 142.877 38.5819 , 
-27.1844 -26.5698 -33.0958 , 218.803 109.159 219.153 , 159.014 143.706 38.624 , 
-27.3651 -26.7451 -33.3008 , 218.917 109.211 219.274 , 159.885 144.537 38.6647 , 
-27.5458 -26.9206 -33.5059 , 219.03 109.264 219.395 , 160.756 145.368 38.704 , 
-27.7267 -27.096 -33.7109 , 219.144 109.316 219.517 , 161.628 146.2 38.7418 , 
-27.9076 -27.2716 -33.9161 , 219.258 109.368 219.638 , 162.499 147.033 38.7783 , 
-28.0885 -27.4472 -34.1212 , 219.371 109.421 219.76 , 163.371 147.866 38.8133 , 
-28.2696 -27.6229 -34.3264 , 219.485 109.473 219.882 , 164.243 148.701 38.8469 , 
-28.4507 -27.7986 -34.5316 , 219.599 109.525 220.004 , 165.115 149.537 38.8791 , 
-28.6318 -27.9744 -34.7368 , 219.713 109.577 220.126 , 165.987 150.374 38.9099 , 
-28.8131 -28.1503 -34.9421 , 219.827 109.629 220.248 , 166.859 151.212 38.9392 , 
-28.9944 -28.3262 -35.1474 , 219.941 109.681 220.371 , 167.731 152.05 38.9671 , 
-29.1758 -28.5022 -35.3527 , 220.055 109.733 220.493 , 168.604 152.89 38.9935 , 
